"col-12","col-12 2","col-12 3","col-12 4","col-12 5","col-12 href","col-12 6","btn href","col-12 href 2"
"Algebris Investments (Ireland) Limited - Milan Branch","Milano","-","-","https://www.algebris.com/it/","https://www.algebris.com/it/","-","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl00$lnkDettaglio','')",""
"Alternative Capital Partners SGR","Milano","02 49652960","http://www.alternativecapital.partners","ottina@alternativecapital.partners","mailto:ottina@alternativecapital.partners","Emanuele Ottina","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl01$lnkDettaglio','')","http://www.alternativecapital.partners/"
"Arca Space Capital","Milano","+39 3357529925","http://www.arcafondi.it","lorenzo.giavenni@arcafondi.it","mailto:lorenzo.giavenni@arcafondi.it","Lorenzo Giavenni","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl02$lnkDettaglio','')","http://www.arcafondi.it/"
"ARDIAN Italy","Milano","+39 / 02 58442401","http://www.ardian.com","milano.pe@ardian.com","mailto:milano.pe@ardian.com","Nicolò Saidelli","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl03$lnkDettaglio','')","http://www.ardian.com/"
"Aurora Growth Capital","Luxembourg","+39 / 02 814 80 801","http://www.auroragrowthcapital.it","IR_Auroragrowthcapital@rpalt.com","mailto:IR_Auroragrowthcapital@rpalt.com","Patrizia Micucci, Piero Migliorini","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl04$lnkDettaglio','')","http://www.auroragrowthcapital.it/"
"CAPZA","Milano","+390283966710","http://www.capza.co","szavattaro@capza.co","mailto:szavattaro@capza.co","Stefano Zavattaro","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl06$lnkDettaglio','')","http://www.capza.co/"
"Cooperare","Bologna","+39 / 051 6492395","http://www.cooperarespa.it","r.cattabriga@cooperarespa.it","mailto:r.cattabriga@cooperarespa.it","Roberto Cattabriga, Marco Bulgarelli","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl07$lnkDettaglio','')","http://www.cooperarespa.it/"
"DeA Capital Alternative Funds SGR","Milano","+39 02 2906631","http://www.deacapitalaf.com","ir-af@deacapital.com","mailto:ir-af@deacapital.com","Alessandra Patera","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl08$lnkDettaglio','')","http://www.deacapitalaf.com/"
"Eiffel Investment Group","Paris","+33 (0)1 39 54 35 67","https://www.eiffel-ig.com/","contact@eiffel-ig.com","mailto:contact@eiffel-ig.com","Lorenzo Marzo Magno","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl09$lnkDettaglio','')","https://www.eiffel-ig.com/"
"EnTrust Global Italia","Milano","+39 342 0402378","http://www.entrustglobal.com","gfacincani@entrustglobal.com","mailto:gfacincani@entrustglobal.com","Ginevra Facincani","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl10$lnkDettaglio','')","http://www.entrustglobal.com/"
"EOS Investment Management Group","London","+44 (0) 20 3709 7759","https://eosimgroup.com/","c.mongillo@eosimgroup.com","mailto:c.mongillo@eosimgroup.com","Ciro Mongillo","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl11$lnkDettaglio','')","https://eosimgroup.com/"
"Equiter - Investimenti per il Territorio","Torino","+39 011 5557903","http://www.equiterspa.com","segreteria@equiterspa.com","mailto:segreteria@equiterspa.com","Igor Calcio Gaudino","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl12$lnkDettaglio','')","http://www.equiterspa.com/"
"Equiter SGR","Torino","+39 02 30322459","-","info@equitersgr.it","mailto:info@equitersgr.it","Enrico Loewenthal","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl13$lnkDettaglio','')",""
"Eurazeo","Parigi","+33 7 69 37 87 89","http://www.eurazeo.com","jtrezza@eurazeo.com","mailto:jtrezza@eurazeo.com","Julien Trezza","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl14$lnkDettaglio','')","http://www.eurazeo.com/"
"EUREKA! Venture Sgr","Milano","-","http://www.eurekaventure.it","info@eurekaventure.it","mailto:info@eurekaventure.it","Stefano Peroncini","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl15$lnkDettaglio','')","http://www.eurekaventure.it/"
"Excellis Holding","Torino","+39 011 1978 5343","https://www.excellis.it/","info@excellis.it","mailto:info@excellis.it","Loris Lanzellotti, Alberto Emprin","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl16$lnkDettaglio','')","https://www.excellis.it/"
"F2i SGR","Milano","+39 / 02 721791","http://www.f2isgr.it","segreteria@f2isgr.it","mailto:segreteria@f2isgr.it","Rita Ciccone, Mauro Miglio, Corrado Santini","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl17$lnkDettaglio','')","http://www.f2isgr.it/"
"FIEE SGR","Roma","+39 / 06 91658100","http://www.fieesgr.com","segreteria@fieesgr.com","mailto:segreteria@fieesgr.com","Andrea Marano, Raffaele Mellone, Andrea Longatti, Mario Vitiello","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl18$lnkDettaglio','')","http://www.fieesgr.com/"
"Finint Investments SGR","Conegliano","+39 / 0438 360407","http://www.finintinvestments.com","sales@finint.com; team_private_debt@finint.com; team.FE4G@finint.com","mailto:sales@finint.com; team_private_debt@finint.com; team.FE4G@finint.com","Mauro Sbroggiò, Vania Serena","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl19$lnkDettaglio','')","http://www.finintinvestments.com/"
"Finsea","Martina Franca","+39 / 080 4855821","http://www.gruppofinsea.it","info@gruppofinsea.it","mailto:info@gruppofinsea.it","Pietro Vito Chirulli","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl20$lnkDettaglio','')","http://www.gruppofinsea.it/"
"Friulia","Trieste","+39 / 040 31971","http://www.friulia.it","mail@friulia.it","mailto:mail@friulia.it","Sara Spogliarich","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl21$lnkDettaglio','')","http://www.friulia.it/"
"FVS SGR","Venezia","+39 / 041 5094071","http://www.fvssgr.it","mail@fvssgr.it","mailto:mail@fvssgr.it","Diego Tognetti, Luca Briotto","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl22$lnkDettaglio','')","http://www.fvssgr.it/"
"Green Arrow Capital SGR","Roma","(+39) 06 94354415 -  (+39) 342 624 08 55","https://www.greenarrow-capital.com/","investorrelation.sgr@greenarrow-capital.com","mailto:investorrelation.sgr@greenarrow-capital.com","Claudio Ansuinelli - Managing Director - Head of Sales","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl23$lnkDettaglio','')","https://www.greenarrow-capital.com/"
"Innovative-RFK","Milano","+39/ 02 76003846","http://www.innovative-rfk.it","paolo.pescetto@innovative-rfk.it; antonello.carlucci@innovative-rfk.it","mailto:paolo.pescetto@innovative-rfk.it; antonello.carlucci@innovative-rfk.it","Antonello Carlucci","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl24$lnkDettaglio','')","http://www.innovative-rfk.it/"
"Invitalia","Roma","+39 06 42160","http://www.invitalia.it","segreteria_invman@invitalia.it; ariccio@invitalia.it ; dstraventa@invitalia.it","mailto:segreteria_invman@invitalia.it; ariccio@invitalia.it ; dstraventa@invitalia.it","Ernesto Somma; Antonio Riccio; Daniele Straventa","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl25$lnkDettaglio','')","http://www.invitalia.it/"
"Itago SGR","Venezia","+39 041 0996660","http://www.itagopartners.it","info@itagopartners.it","mailto:info@itagopartners.it","Piergiorgio Fantin, Domenico Tonussi","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl26$lnkDettaglio','')","http://www.itagopartners.it/"
"Kairos Partners SGR","Milano","+39 02 777 18 1","https://www.kairospartners.com/ventures-esg-one/","e.schembari@kairospartners.com; r.zanco@kairospartners.com; m.bonfanti@kairospartners.com","mailto:e.schembari@kairospartners.com; r.zanco@kairospartners.com; m.bonfanti@kairospartners.com","Elisa Schembari; Roberto Zanco; Matteo Bonfanti","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl27$lnkDettaglio','')","https://www.kairospartners.com/ventures-esg-one/"
"L&B Capital SGR","Milano","+39 055 26 333 1","http://www.lbcapitalsgr.it","investor@lbcapitalsgr.it","mailto:investor@lbcapitalsgr.it","Aurea Pagnani","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl28$lnkDettaglio','')","http://www.lbcapitalsgr.it/"
"LIFTT","Torino","+39 3497796983","https://www.liftt.com/","alice.mariotti@liftt.com","mailto:alice.mariotti@liftt.com","Alice Mariotti","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl29$lnkDettaglio','')","https://www.liftt.com/"
"Macquarie – MAM","London","+ 39 / 351 7363060 ; +44 / 7917 635779","http://www.macquarie.com/eu","mamprivatemarketsemea@macquarie.com","mailto:mamprivatemarketsemea@macquarie.com","Raffaella Copper","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl30$lnkDettaglio','')","http://www.macquarie.com/eu"
"Mediocredito Centrale","Roma","+39 3351043263; +39 3346261560","https://mcc.it","alessandra.festini@mcc.it; maria.monna@mcc.it","mailto:alessandra.festini@mcc.it; maria.monna@mcc.it","Alessandra Festini; Maria Monna","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl31$lnkDettaglio','')","https://mcc.it/"
