company_name,linkedin_url,confidence
Abenex,,none
Alcedo SGR,,none
Aliante Partners,,none
Alkemia SGR,,none
Amundi Italy,,none
Apeiron Management,,none
Arca Fondi SGR,,none
AVM Gestioni SGR,,none
Azimut Libera Impresa,,none
CDP Equity,,none
CDP Real Asset SGR,,none
Charme Capital Partners,,none
Claris Ventures SGR,,none
Cooperare SpA,,none
Deep Ocean Capital SGR,,none
Equinox AIFM,,error
Excellis Holding,,error
F&P Equity Partners,,error
FIEE SGR,,error
Finsea,,error
Fuerstenberg SGR,,error
FVG Plus,,error
Gepafin,,error
Gradiente SGR,,error
HLD Group,,error
Innovative RFK,,error
Itago SGR,,error
Kyip Capital,,error
L&B Capital,,error
Lazio Innova,,error
Lion River,,error
Macquarie Group,,error
Narval Investimenti,,error
Nextalia SGR,,error
Origine SGR,,error
Overseas Industries,,error
Oxy Capital,,error
Palladio Holding,,error
Pillarstone,,error
PM Partners SGR,,error
Polis SGR,,error
Prana Ventures,,error
Quant ICO,,error
Rancilio Cube,,error
Ring Capital,,error
Sagitta SGR,,error
Scientifica Venture Capital,,error
SEFEA Impact,,error
SICI SGR,,error
Sinloc,,error
Smart Capital,,error
Star Capital SGR,,error
TeamSystem Capital at Work,,error
The Equity Club,,error
ToSeed,,error
Yarpa Investimenti,,error
Zenit SGR,,error
